TopoPSA(NO),0.0,66.31,132.62,198.93,265.25,331.56,397.87,464.18
ATSC1c,-4.0,-3.47,-2.95,-2.42,-1.9,-1.37,-0.85,-0.32
AATSC0c,0.0,0.01,0.03,0.04,0.06,0.07,0.08,0.1
IC1,0.92,1.39,1.86,2.32,2.79,3.26,3.73,4.2
AATSC0s,0.01,1.47,2.93,4.4,5.86,7.32,8.78,10.24
ATSC0s,0.07,58.98,117.9,176.82,235.73,294.65,353.57,412.48
ATSC1se,-4.18,-3.57,-2.95,-2.34,-1.73,-1.11,-0.5,0.12
SdO,0.0,23.39,46.77,70.16,93.55,116.93,140.32,163.7
GATS2dv,0.0,0.35,0.7,1.05,1.4,1.75,2.1,2.45
GATS2pe,0.18,0.38,0.59,0.79,0.99,1.2,1.4,1.61
ATSC2s,-64.95,-31.27,2.4,36.08,69.76,103.44,137.12,170.8
AATS0se,6.96,7.7,8.45,9.19,9.93,10.68,11.42,12.16
EState_VSA2,0.0,11.17,22.35,33.52,44.69,55.86,67.04,78.21
MIC1,6.51,13.54,20.56,27.59,34.62,41.64,48.67,55.7
BIC1,0.22,0.3,0.38,0.46,0.54,0.62,0.7,0.78
ATSC2c,-1.0,-0.74,-0.47,-0.21,0.05,0.32,0.58,0.85
VSA_EState3,-9.32,8.31,25.94,43.56,61.19,78.81,96.44,114.07
PEOE_VSA6,0.0,17.4,34.8,52.2,69.61,87.01,104.41,121.81
AATSC2are,-0.18,-0.12,-0.05,0.01,0.07,0.13,0.19,0.25
AATSC0v,0.18,9.8,19.42,29.04,38.66,48.29,57.91,67.53
PEOE_VSA2,0.0,6.59,13.18,19.78,26.37,32.96,39.55,46.15
ATSC5s,-354.94,-287.74,-220.54,-153.35,-86.15,-18.95,48.24,115.44
ATSC7s,-210.68,-157.3,-103.93,-50.55,2.83,56.2,109.58,162.95
AATS1i,138.05,146.37,154.68,163.0,171.32,179.63,187.95,196.27
nN,0.0,1.5,3.0,4.5,6.0,7.5,9.0,10.5
Zagreb2,1.0,87.0,173.0,259.0,345.0,431.0,517.0,603.0
PEOE_VSA9,0.0,9.95,19.9,29.85,39.8,49.75,59.7,69.66
AATSC1c,-0.09,-0.08,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01
SRW09,0.0,1.12,2.24,3.36,4.48,5.59,6.71,7.83
ATSC5c,-2.25,-1.77,-1.29,-0.81,-0.33,0.16,0.64,1.12
PEOE_VSA1,0.0,16.02,32.04,48.06,64.09,80.11,96.13,112.15
AATSC1are,-0.33,-0.28,-0.23,-0.19,-0.14,-0.09,-0.04,0.0
MATS2are,-1.0,-0.78,-0.57,-0.35,-0.14,0.08,0.29,0.51
naHRing,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5
IC4,0.92,1.68,2.45,3.22,3.98,4.75,5.51,6.28
SlogP_VSA3,0.0,10.74,21.49,32.23,42.98,53.72,64.47,75.21
CIC2,-0.0,0.45,0.9,1.35,1.8,2.25,2.7,3.15
AATS1dv,0.51,3.44,6.38,9.32,12.25,15.19,18.13,21.06
JGI3,0.0,0.02,0.04,0.06,0.07,0.09,0.11,0.13
Xch-5d,0.0,0.22,0.45,0.67,0.89,1.11,1.34,1.56
ATSC4c,-3.39,-2.75,-2.11,-1.47,-0.84,-0.2,0.44,1.08
ATSC4s,-162.25,-122.35,-82.46,-42.56,-2.66,37.23,77.13,117.02
NaaCH,0.0,2.25,4.5,6.75,9.0,11.25,13.5,15.75
TPSA,0.0,80.13,160.26,240.38,320.51,400.64,480.77,560.9
PNSA3,-209.53,-183.54,-157.55,-131.56,-105.57,-79.58,-53.59,-27.6
FPSA5,0.0,0.01,0.03,0.04,0.05,0.06,0.08,0.09
DPSA4,3.33,17.41,31.5,45.58,59.67,73.75,87.83,101.92
FNSA5,-0.24,-0.21,-0.18,-0.15,-0.12,-0.09,-0.07,-0.04
RNCS,0.0,113.44,226.88,340.31,453.75,567.19,680.63,794.07
